ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.501034436686,0.0015377755775,0.0311318288633,0.284530467362,0.181765491512
2,0.522925186891,0.00326661784018,0.0350327963116,0.118310858812,0.320464540144
3,0.391548538105,0.00118142265984,0.0814392829361,0.338843267113,0.186987489185
4,0.0136084262821,0.017138027271,0.0464207615318,0.00240628504448,0.920426499871
5,0.505789945348,0.00373040747851,0.0469876247605,0.126828663761,0.316663358653
6,0.206997274743,0.00559322150197,0.0328048356278,0.124497919648,0.630106748479
7,0.154518653196,0.0554480257284,0.034423474257,0.00848722923297,0.747122617586
8,0.00981669558999,0.017682128872,0.0460533591118,0.00251512496983,0.923932691456
9,0.569721101353,0.000598028480789,0.0338677413162,0.190425268453,0.205387860397
10,0.55957797003,0.00243956897644,0.0248701575974,0.0967316978025,0.316380605594
11,0.042236002577,0.0145253057187,0.145194938474,0.01364251891,0.78440123432
12,0.512804675873,0.00526187833578,0.047678018685,0.128229368659,0.306026058447
13,0.334355832333,0.0010580319161,0.089962133139,0.394802791801,0.17982121081
14,0.434755165896,0.00127233164862,0.0382158975299,0.344357562585,0.18139904234
15,0.495069617316,0.00151994519333,0.031468415716,0.2862038512,0.185738170575
16,0.758381272715,0.00643031005806,0.0129728358434,0.0398836112735,0.18233197011
17,0.00981669558999,0.017682128872,0.0460533591118,0.00251512496983,0.923932691456
18,0.0353267442217,0.0353557008313,0.0793889120062,0.190263129656,0.659665513285
19,0.17490067507,0.00894036050226,0.0956356747077,0.159087089178,0.561436200542
20,0.479571243275,0.0010821433924,0.0292750378625,0.308389073229,0.181682502242
21,0.215535827083,0.00713516211077,0.0568994891682,0.196813702913,0.523615818725
22,0.51748329205,0.0039477030233,0.0292803953761,0.127675389935,0.321613219616
23,0.466691587363,0.00157264372424,0.0348140527621,0.32086251795,0.176059198201
24,0.566716923069,0.00141224876161,0.0204570934406,0.23170384122,0.179709893509
25,0.644337428868,0.000878137088288,0.015104805107,0.182773785359,0.156905843578
26,0.295749381553,0.0227521381003,0.0770936883606,0.0176483321784,0.586756459807
27,0.608448044766,0.000734540237957,0.0142892625585,0.190221439909,0.186306712528
28,0.460960306839,0.00205451266817,0.0266073601219,0.31385409874,0.19652372163
29,0.775051073702,0.00462199001378,0.0127871682183,0.0347954251358,0.17274434293
